FIPS,Population,White,Black,Native,Asian,Pacific_Islander,Other,Multiracial,Percentage_White,Percentage_Black,Percentage_Native,Percentage_Asian,Percentage_Pacific_Islander,Percentage_Other,Percentage_Multiracial,Percentage_Nonwhite,Percent_Hispanic,Percentage_Household_Poverty,Percentage_DifferentHouseOneYearAgo,Percentage_AbroadOneYearAgo,MedianAge_Total,MedianAge_Male,MedianAge_Female
250250105002,1245,860,62,0,236,0,72,15,69.07630522,4.979919679,0,18.95582329,0,5.78313253,1.204819277,30.92369478,19.11646586,42.68617021,29.0923825,2.106969206,28.4,25.3,30.7
250250105003,1035,643,244,0,55,0,60,33,62.12560386,23.57487923,0,5.314009662,0,5.797101449,3.188405797,37.87439614,3.961352657,12.4137931,33.57070193,0,29.6,29.3,29.9
250250106001,1890,1502,157,14,217,0,0,0,79.47089947,8.306878307,0.740740741,11.48148148,0,0,0,20.52910053,5.132275132,9.570154096,26.17886179,0.433604336,44.3,43.7,46.4
250250106002,1143,824,194,0,125,0,0,0,72.09098863,16.97287839,0,10.93613298,0,0,0,27.90901137,4.199475066,26.40522876,15.4855643,0,41.9,44.9,38.4
250250107011,1176,912,26,0,183,0,0,55,77.55102041,2.210884354,0,15.56122449,0,0,4.676870748,22.44897959,4.846938776,12.20472441,28.48639456,4.931972789,27.4,26.6,29.5
250250107012,960,877,8,0,40,0,35,0,91.35416667,0.833333333,0,4.166666667,0,3.645833333,0,8.645833333,7.083333333,7.962962963,32.39583333,0,34.8,35.6,32.9
250250107013,689,602,12,0,34,0,24,17,87.37300435,1.741654572,0,4.934687954,0,3.483309144,2.467343977,12.62699565,18.86792453,18.54304636,28.71870398,5.30191458,32.5,34.3,31.2
250250107021,894,837,27,0,30,0,0,0,93.62416107,3.020134228,0,3.355704698,0,0,0,6.375838926,2.908277405,2.886597938,41.05145414,0,33.7,39,32.9
250250107022,689,603,13,0,47,0,4,22,87.51814224,1.886792453,0,6.821480406,0,0.580551524,3.193033382,12.48185776,6.531204644,3.448275862,26.12481858,3.483309144,30,29.5,30.2
250250107023,863,825,12,0,23,0,3,0,95.5967555,1.390498262,0,2.665121669,0,0.347624565,0,4.403244496,11.70336037,16.17357002,22.4797219,0,41.2,43.5,40.8
